Figure,File
3.1,./CurrentProcess.ipynb
3.2,./CurrentProcess.ipynb
4.1,./Levels.ipynb
4.2,./Levels.ipynb
4.3,./Levels.ipynb
4.6,./Modus.ipynb
4.9,./Modus.ipynb
4.10,./Modus.ipynb
4.11,./Modus.ipynb
4.12,./Temperatur.ipynb
4.13,./Temperatur.ipynb
4.14,./Temperatur.ipynb
4.15,./Temperatur.ipynb
4.16,./Temperatur.ipynb
4.17,./Monitor.ipynb
4.18,./Monitor.ipynb
4.19,./Monitor.ipynb
5.1,./ArtificialAnalysis.ipynb
5.2,./ArtificialAnalysis.ipynb
5.3,./ArtificialAnalysis.ipynb
5.4,./ArtificialAnalysis.ipynb
5.5,./ArtificialAnalysis.ipynb
6.1,./Predict.ipynb
6.2,./Predict.ipynb
6.3,./Predict.ipynb
6.4,./Predict.ipynb
6.5,./Linearization.ipynb
6.6,./Linearization.ipynb
6.7,./Linearization.ipynb
