"Data captured on:"	"25.08.2023 17:32:58"
"Gain setting:"	1
"Averaging frame frequency:"	0
"Edge width rising [s]:"	-1.503310E-3
"Edge width falling [s]:"	2.120636E-6


"Time [s]"	"Amplitude"
1.000000E-6	1.205444E-3
2.000000E-6	1.907349E-3
3.000000E-6	3.082275E-3
4.000000E-6	4.791260E-3
5.000000E-6	4.165649E-3
6.000000E-6	1.464844E-3
7.000000E-6	2.395630E-3
8.000000E-6	3.158569E-3
9.000000E-6	2.960205E-3
1.000000E-5	3.372192E-3
1.100000E-5	2.944946E-3
1.200000E-5	6.408691E-4
1.300000E-5	2.975464E-3
1.400000E-5	3.936768E-3
1.500000E-5	3.219604E-3
1.600000E-5	3.265381E-3
1.700000E-5	2.807617E-3
1.800000E-5	3.479004E-3
1.900000E-5	3.311157E-3
2.000000E-5	3.112793E-3
2.100000E-5	3.326416E-3
2.200000E-5	2.044678E-3
2.300000E-5	3.753662E-3
2.400000E-5	3.356934E-3
2.500000E-5	3.692627E-3
2.600000E-5	3.234863E-3
2.700000E-5	3.204346E-3
2.800000E-5	3.005981E-3
2.900000E-5	2.120972E-3
3.000000E-5	3.311157E-3
3.100000E-5	3.250122E-3
3.200000E-5	3.799438E-3
3.300000E-5	3.097534E-3
3.400000E-5	2.029419E-3
3.500000E-5	3.234863E-3
3.600000E-5	4.043579E-3
3.700000E-5	2.883911E-3
3.800000E-5	4.058838E-3
3.900000E-5	2.868652E-3
4.000000E-5	2.838135E-3
4.100000E-5	2.578735E-3
4.200000E-5	5.630493E-3
4.300000E-5	1.205444E-3
4.400000E-5	3.036499E-3
4.500000E-5	3.295898E-3
4.600000E-5	2.883911E-3
4.700000E-5	2.624512E-3
4.800000E-5	3.875732E-3
4.900000E-5	3.555298E-3
5.000000E-5	3.906250E-3
5.100000E-5	3.646851E-3
5.200000E-5	1.892090E-3
5.300000E-5	4.714966E-3
5.400000E-5	4.699707E-3
5.500000E-5	3.067017E-3
5.600000E-5	3.128052E-3
5.700000E-5	3.295898E-3
