"Data captured on:"	"29.08.2023 11:02:20"
"Gain setting:"	2
"Averaging frame frequency:"	0
"Edge width rising [s]:"	1.900619E-5
"Edge width falling [s]:"	-1.882226E-5


"Time [s]"	"Amplitude"
1.000000E-6	4.592896E-3
2.000000E-6	4.302979E-3
3.000000E-6	4.669189E-3
4.000000E-6	6.439209E-3
5.000000E-6	5.630493E-3
6.000000E-6	5.889893E-3
7.000000E-6	5.233765E-3
8.000000E-6	6.057739E-3
9.000000E-6	6.027222E-3
1.000000E-5	6.469727E-3
1.100000E-5	4.928589E-3
1.200000E-5	4.943848E-3
1.300000E-5	3.616333E-3
1.400000E-5	4.516602E-3
1.500000E-5	6.317139E-3
1.600000E-5	4.135132E-3
1.700000E-5	4.379272E-3
1.800000E-5	6.072998E-3
1.900000E-5	5.294800E-3
2.000000E-5	4.776001E-3
2.100000E-5	5.035400E-3
2.200000E-5	5.218506E-3
2.300000E-5	3.723145E-3
2.400000E-5	2.441406E-3
2.500000E-5	5.874634E-3
2.600000E-5	4.272461E-3
2.700000E-5	4.989624E-3
2.800000E-5	5.508423E-3
2.900000E-5	5.401611E-3
3.000000E-5	5.371094E-3
3.100000E-5	4.913330E-3
3.200000E-5	4.943848E-3
3.300000E-5	4.104614E-3
3.400000E-5	1.312256E-3
3.500000E-5	6.134033E-3
3.600000E-5	5.203247E-3
3.700000E-5	4.989624E-3
3.800000E-5	4.547119E-3
3.900000E-5	5.828857E-3
4.000000E-5	5.889893E-3
4.100000E-5	4.272461E-3
4.200000E-5	5.828857E-3
4.300000E-5	3.692627E-3
4.400000E-5	3.631592E-3
4.500000E-5	5.584717E-3
4.600000E-5	5.294800E-3
4.700000E-5	6.790161E-3
4.800000E-5	7.797241E-3
4.900000E-5	5.722046E-3
5.000000E-5	5.691528E-3
5.100000E-5	4.257202E-3
5.200000E-5	4.577637E-3
5.300000E-5	4.257202E-3
5.400000E-5	5.798340E-3
5.500000E-5	4.714966E-3
5.600000E-5	5.020142E-3
5.700000E-5	6.576538E-3
5.800000E-5	5.233765E-3
5.900000E-5	4.577637E-3
6.000000E-5	5.599976E-3
6.100000E-5	5.218506E-3
6.200000E-5	3.921509E-3
6.300000E-5	4.837036E-3
6.400000E-5	7.598877E-3
6.500000E-5	6.317139E-3
6.600000E-5	3.829956E-3
6.700000E-5	4.287720E-3
6.800000E-5	5.493164E-3
6.900000E-5	5.661011E-3
7.000000E-5	4.837036E-3
7.100000E-5	5.111694E-3
7.200000E-5	2.471924E-3
7.300000E-5	2.502441E-3
7.400000E-5	6.179810E-3
7.500000E-5	6.072998E-3
7.600000E-5	5.096436E-3
7.700000E-5	5.142212E-3
7.800000E-5	6.072998E-3
7.900000E-5	5.630493E-3
8.000000E-5	5.050659E-3
8.100000E-5	5.355835E-3
8.200000E-5	3.738403E-3
8.300000E-5	4.714966E-3
8.400000E-5	5.279541E-3
8.500000E-5	6.011963E-3
8.600000E-5	5.950928E-3
8.700000E-5	4.913330E-3
8.800000E-5	4.287720E-3
8.900000E-5	4.806519E-3
9.000000E-5	6.408691E-3
9.100000E-5	5.081177E-3
9.200000E-5	4.898071E-3
9.300000E-5	2.105713E-3
9.400000E-5	4.180908E-3
9.500000E-5	5.645752E-3
9.600000E-5	5.599976E-3
9.700000E-5	5.722046E-3
9.800000E-5	5.416870E-3
9.900000E-5	5.325317E-3
1.000000E-4	4.867554E-3
1.010000E-4	3.631592E-3
1.020000E-4	5.035400E-3
1.030000E-4	3.463745E-3
1.040000E-4	3.067017E-3
1.050000E-4	3.356934E-3
1.060000E-4	5.783081E-3
1.070000E-4	6.484985E-3
1.080000E-4	5.203247E-3
1.090000E-4	6.118774E-3
1.100000E-4	6.042480E-3
1.110000E-4	5.966187E-3
1.120000E-4	6.149292E-3
1.130000E-4	5.615234E-3
1.140000E-4	5.325317E-3
1.150000E-4	5.340576E-3
1.160000E-4	5.859375E-3
1.170000E-4	5.920410E-3
1.180000E-4	6.805420E-3
1.190000E-4	5.218506E-3
