"Data captured on:"	"04.09.2023 13:00:19"
"Gain setting:"	2
"Averaging frame frequency:"	0
"Edge width rising [s]:"	1.060970E-2
"Edge width falling [s]:"	-7.134666E-3


"Time [s]"	"Amplitude"
1.000000E-3	7.549744E-1
2.000000E-3	7.559967E-1
3.000000E-3	7.573395E-1
4.000000E-3	7.576904E-1
5.000000E-3	7.566986E-1
6.000000E-3	7.556610E-1
7.000000E-3	7.556000E-1
8.000000E-3	7.568817E-1
9.000000E-3	7.558441E-1
1.000000E-2	7.568359E-1
1.100000E-2	7.570038E-1
1.200000E-2	7.571259E-1
1.300000E-2	7.568970E-1
1.400000E-2	7.559662E-1
1.500000E-2	7.562714E-1
1.600000E-2	7.565460E-1
1.700000E-2	7.566376E-1
1.800000E-2	7.561188E-1
1.900000E-2	7.572479E-1
2.000000E-2	7.560577E-1
2.100000E-2	7.558441E-1
2.200000E-2	7.559662E-1
2.300000E-2	7.589111E-1
2.400000E-2	7.548676E-1
2.500000E-2	7.567596E-1
2.600000E-2	7.565460E-1
2.700000E-2	7.566528E-1
2.800000E-2	7.569275E-1
2.900000E-2	7.544098E-1
3.000000E-2	7.576294E-1
3.100000E-2	7.583466E-1
3.200000E-2	7.563324E-1
3.300000E-2	7.577209E-1
3.400000E-2	7.571716E-1
3.500000E-2	7.561035E-1
3.600000E-2	7.552032E-1
3.700000E-2	7.578735E-1
3.800000E-2	7.571869E-1
3.900000E-2	7.547760E-1
4.000000E-2	7.575989E-1
4.100000E-2	7.554779E-1
4.200000E-2	7.568970E-1
4.300000E-2	7.562408E-1
4.400000E-2	7.564850E-1
4.500000E-2	7.575531E-1
4.600000E-2	7.559662E-1
4.700000E-2	7.566376E-1
4.800000E-2	7.575836E-1
4.900000E-2	7.569275E-1
5.000000E-2	7.576294E-1
5.100000E-2	7.573547E-1
5.200000E-2	7.563019E-1
5.300000E-2	7.561340E-1
5.400000E-2	7.561188E-1
5.500000E-2	7.568512E-1
5.600000E-2	7.559662E-1
5.700000E-2	7.559509E-1
5.800000E-2	7.547760E-1
5.900000E-2	7.567291E-1
6.000000E-2	7.555084E-1
6.100000E-2	7.558594E-1
6.200000E-2	7.551117E-1
6.300000E-2	7.581177E-1
6.400000E-2	7.560272E-1
6.500000E-2	7.553253E-1
6.600000E-2	7.556152E-1
6.700000E-2	7.566376E-1
6.800000E-2	7.563019E-1
6.900000E-2	7.572632E-1
7.000000E-2	7.545013E-1
7.100000E-2	7.559357E-1
7.200000E-2	7.563019E-1
7.300000E-2	7.570648E-1
7.400000E-2	7.578583E-1
7.500000E-2	7.577972E-1
7.600000E-2	7.567902E-1
7.700000E-2	7.569427E-1
7.800000E-2	7.577057E-1
7.900000E-2	7.558441E-1
8.000000E-2	7.586823E-1
8.100000E-2	7.600250E-1
8.200000E-2	7.584686E-1
8.300000E-2	7.587128E-1
8.400000E-2	7.583008E-1
8.500000E-2	7.579498E-1
8.600000E-2	7.606354E-1
8.700000E-2	7.593079E-1
8.800000E-2	7.591705E-1
8.900000E-2	7.560577E-1
9.000000E-2	7.618256E-1
9.100000E-2	7.614288E-1
9.200000E-2	7.609253E-1
9.300000E-2	7.593384E-1
9.400000E-2	7.613220E-1
9.500000E-2	7.616577E-1
9.600000E-2	7.593842E-1
9.700000E-2	7.606354E-1
9.800000E-2	7.606049E-1
9.900000E-2	7.590790E-1
1.000000E-1	7.644043E-1
1.010000E-1	7.595673E-1
1.020000E-1	7.626495E-1
1.030000E-1	7.621918E-1
1.040000E-1	7.624359E-1
1.050000E-1	7.601471E-1
1.060000E-1	7.601166E-1
1.070000E-1	7.601166E-1
1.080000E-1	7.608490E-1
1.090000E-1	7.614136E-1
1.100000E-1	7.593384E-1
1.110000E-1	7.592621E-1
1.120000E-1	7.599030E-1
1.130000E-1	7.597504E-1
1.140000E-1	7.594452E-1
1.150000E-1	7.601166E-1
1.160000E-1	7.596588E-1
1.170000E-1	7.596436E-1
1.180000E-1	7.604828E-1
1.190000E-1	7.595367E-1
