"Data captured on:"	"04.09.2023 13:03:21"
"Gain setting:"	2
"Averaging frame frequency:"	0
"Edge width rising [s]:"	0.000000E+0
"Edge width falling [s]:"	0.000000E+0


"Time [s]"	"Amplitude"
1.000000E-3	3.424072E-1
2.000000E-3	7.575378E-1
3.000000E-3	6.380768E-1
4.000000E-3	5.001068E-1
5.000000E-3	2.265625E-1
6.000000E-3	6.593323E-2
7.000000E-3	6.025696E-2
8.000000E-3	3.305054E-2
9.000000E-3	9.690857E-2
1.000000E-2	3.401642E-1
1.100000E-2	7.522278E-1
1.200000E-2	6.328583E-1
1.300000E-2	2.264862E-1
1.400000E-2	6.642151E-2
1.500000E-2	5.987549E-2
1.600000E-2	3.295898E-2
1.700000E-2	9.819031E-2
1.800000E-2	3.419495E-1
1.900000E-2	7.566376E-1
2.000000E-2	6.345825E-1
2.100000E-2	2.296295E-1
2.200000E-2	6.774902E-2
2.300000E-2	2.352905E-2
2.400000E-2	6.063843E-2
2.500000E-2	9.846497E-2
2.600000E-2	3.419647E-1
2.700000E-2	7.565460E-1
2.800000E-2	6.360931E-1
2.900000E-2	5.024719E-1
3.000000E-2	2.272491E-1
3.100000E-2	6.712341E-2
3.200000E-2	5.952454E-2
3.300000E-2	3.283691E-2
3.400000E-2	9.767151E-2
3.500000E-2	3.411560E-1
3.600000E-2	7.546539E-1
3.700000E-2	6.334381E-1
3.800000E-2	2.285004E-1
3.900000E-2	6.604004E-2
4.000000E-2	6.059265E-2
4.100000E-2	3.192139E-2
4.200000E-2	9.805298E-2
4.300000E-2	3.414917E-1
4.400000E-2	7.548370E-1
4.500000E-2	6.341705E-1
4.600000E-2	2.273560E-1
4.700000E-2	6.666565E-2
4.800000E-2	2.400208E-2
4.900000E-2	5.967712E-2
5.000000E-2	9.802246E-2
5.100000E-2	3.441315E-1
5.200000E-2	7.581482E-1
5.300000E-2	6.372528E-1
5.400000E-2	5.104370E-1
5.500000E-2	2.259064E-1
5.600000E-2	6.625366E-2
5.700000E-2	6.010437E-2
5.800000E-2	3.373718E-2
5.900000E-2	9.822083E-2
6.000000E-2	3.409271E-1
6.100000E-2	7.523346E-1
6.200000E-2	6.330719E-1
6.300000E-2	2.278442E-1
6.400000E-2	6.710815E-2
6.500000E-2	6.037903E-2
6.600000E-2	3.356934E-2
6.700000E-2	9.843445E-2
6.800000E-2	3.423462E-1
6.900000E-2	7.551117E-1
7.000000E-2	6.359863E-1
7.100000E-2	2.281799E-1
7.200000E-2	6.838989E-2
7.300000E-2	2.423096E-2
7.400000E-2	5.987549E-2
7.500000E-2	9.866333E-2
7.600000E-2	3.419342E-1
7.700000E-2	7.562408E-1
7.800000E-2	6.359406E-1
7.900000E-2	5.143280E-1
8.000000E-2	2.259827E-1
8.100000E-2	6.655884E-2
8.200000E-2	5.966187E-2
8.300000E-2	3.414917E-2
8.400000E-2	9.785461E-2
8.500000E-2	3.390045E-1
8.600000E-2	7.549133E-1
8.700000E-2	6.326141E-1
8.800000E-2	2.272797E-1
8.900000E-2	6.643677E-2
9.000000E-2	5.886841E-2
9.100000E-2	3.215027E-2
9.200000E-2	9.881592E-2
9.300000E-2	3.406372E-1
9.400000E-2	7.544403E-1
9.500000E-2	6.339569E-1
9.600000E-2	2.279663E-1
9.700000E-2	6.584167E-2
9.800000E-2	2.397156E-2
9.900000E-2	5.935669E-2
1.000000E-1	9.852600E-2
1.010000E-1	3.430328E-1
1.020000E-1	7.602844E-1
1.030000E-1	6.369781E-1
1.040000E-1	5.192566E-1
1.050000E-1	2.259827E-1
1.060000E-1	6.538391E-2
1.070000E-1	6.005859E-2
1.080000E-1	3.143311E-2
1.090000E-1	9.823608E-2
1.100000E-1	3.394775E-1
1.110000E-1	7.531281E-1
1.120000E-1	6.319885E-1
1.130000E-1	2.273560E-1
1.140000E-1	6.660461E-2
1.150000E-1	6.054687E-2
1.160000E-1	3.404236E-2
1.170000E-1	9.974670E-2
1.180000E-1	3.410187E-1
1.190000E-1	7.562103E-1
