Name,Date,Start (approx),End (approx),Filename,Num. L_in,Num. L_in Post,Num. Restests,Measurements per L_in,Intensity,Order,Mode,Monitor
004bigDataCollection,6/22/2023,16:18,21:26,./004bigDataCollection/Test01/*,4096,0,0,1000,255,ascending,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
004bigDataCollection,6/22/2023,21:26,2:34,./004bigDataCollection/Test02/*,4096,0,0,1000,255,random,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
004bigDataCollection,6/23/2023,2:34,7:42,./004bigDataCollection/Test03/*,4096,0,0,1000,255,descending,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
004bigDataCollection,6/23/2023,7:42,12:50,./004bigDataCollection/Test04/*,4096,0,0,1000,255,ascending,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
004bigDataCollection,6/23/2023,12:50,17:58,./004bigDataCollection/Test05/*,4096,0,0,1000,255,random,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
004bigDataCollection,6/23/2023,17:58,23:06,./004bigDataCollection/Test06/*,4096,0,0,1000,255,descending,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
004bigDataCollection,6/23/2023,23:06,4:15,./004bigDataCollection/Test07/*,4096,0,0,1000,255,ascending,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
004bigDataCollection,6/24/2023,4:15,9:23,./004bigDataCollection/Test08/*,4096,0,0,1000,255,random,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
004bigDataCollection,6/24/2023,9:23,14:31,./004bigDataCollection/Test09/*,4096,0,0,1000,255,descending,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
008levelCollection02,7/10/2023,10:14,15:22,./008levelCollection02/Test07/*,4096,0,0,1000,255,ascending,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
008levelCollection02,7/10/2023,15:22,20:29,./008levelCollection02/Test08/*,4096,0,0,1000,255,random,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
008levelCollection02,7/10/2023,20:29,1:37,./008levelCollection02/Test09/*,4096,0,0,1000,255,descending,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
010intesityCollection,7/14/2023,16:44,21:53,./010intensityCollection/Test01/*,4096,0,0,1000,127,ascending,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
010intesityCollection,7/14/2023,21:53,3:00,./010intensityCollection/Test02/*,4096,0,0,1000,127,random,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
010intesityCollection,7/15/2023,3:00,8:08,./010intensityCollection/Test03/*,4096,0,0,1000,127,descending,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
012newFan,7/21/2023,17:07,22:15,./012newFan/Test01/*,4096,0,0,1000,255,ascending,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
012newFan,7/21/2023,22:15,3:23,./012newFan/Test02/*,4096,0,0,1000,255,random,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
012newFan,7/21/2023,3:23,8:31,./012newFan/Test03/*,4096,0,0,1000,255,descending,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
012newFan,7/22/2023,8:31,13:39,./012newFan/Test04/*,4096,0,0,1000,255,ascending,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
012newFan,7/22/2023,13:39,18:46,./012newFan/Test05/*,4096,0,0,1000,255,random,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
012newFan,7/22/2023,18:47,22:54,./012newFan/Test06/*,4096,0,0,1000,255,descending,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
012newFan,7/22/2023,22:54,5:02,./012newFan/Test07/*,4096,0,0,1000,111,ascending,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
012newFan,7/23/2023,5:02,10:10,./012newFan/Test08/*,4096,0,0,1000,111,random,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
012newFan,7/23/2023,10:10,15:18,./012newFan/Test09/*,4096,0,0,1000,111,descending,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
014tempDependency1.6,8/8/2023,17:07,18:09,./014tempDependency1.6/*,32,0,0,1000,255,ascending,nm,VIEWPixx /3D Lite (serial no.:  65501-3154)
015tempDependency1,8/9/2023,12:41,14:45,./015tempDependency1/*,32,0,0,1000,255,ascending,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
015tempDependency2,8/9/2023,21:55,23:58,./015tempDependency2/*,32,0,0,1000,255,ascending,sc,VIEWPixx /3D Lite (serial no.:  65501-3106)
017otrScanNear,8/25/2023,13:00,18:30,./017otrScanNear/*,NULL,NULL,NULL,NULL,255,NULL,sc,VIEWPixx (serial no.: 60001-0733)
019OTRLichtfalle,8/29/2023,11:30,12:00,./019OTRLichtfalle/*,NULL,NULL,NULL,NULL,255,NULL,sc,VIEWPixx (serial no.: 60001-0733)
020OTRAmplitude,9/4/2023,13:00,16:00,./020OTRAmplitude/*,NULL,NULL,NULL,NULL,255,NULL,both,VIEWPixx (serial no.: 60001-0733)
027lastExperimentPart1,11/19/2023,15:06,20:14,./027lastExperimentPart1/Test01/*,4096,0,0,1000,255,random,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
028lastExperimentPart2_b,11/20/2023,15:05,20:12,./028lastExperimentPart2_b/Test01/*,4096,0,0,1000,255,random,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
029linearizationViewpixx3D,11/22/2023,09:57,20:12,./029linearizationViewpixx3D/Test01/*,4096,4096,0,1000,255,random,nm,VIEWPixx /3D Lite (serial no.:  65501-3106)
